location,weighted_sentiment_score
Charlotte Pass,26.731640838136055
Falls Creek,26.94474335149811
Mount Baw Baw,26.633234463180557
Mount Buller,25.211523424303838
Mount Hotham,26.476531985267506
Mount Perisher,25.682054597969927
Selwyn Snowfields,26.821364937457062
Thredbo,26.50763121839682
